Timestamp,Name,ID,URL,Time Spent
2023-12-30 18:44:35,Amanda,32,www.myschool.com,94m
2023-12-30 11:55:08,Chelsea,392,www.myschool.com,92m
2023-12-30 06:17:55,Maya,352,www.myschool.com,109m
2023-12-30 01:04:13,Alexis,78,www.myschool.com,47m
2023-12-30 00:21:03,Alan,131,www.myschool.com,21m
2023-12-29 23:05:36,Jack,318,www.myschool.com,1m
2023-12-29 12:26:31,Gabriel,155,www.myschool.com,46m
2023-12-29 04:59:38,Angel,20,www.myschool.com,57m
2023-12-29 01:57:49,Gavin,330,www.myschool.com,31m
2023-12-28 23:06:49,Colby,176,www.myschool.com,48m
2023-12-28 19:18:52,Isabella,320,www.myschool.com,61m
2023-12-28 18:39:03,Jade,204,www.myschool.com,70m
2023-12-28 06:24:35,Victoria,329,www.myschool.com,96m
2023-12-28 04:09:02,Skylar,19,www.myschool.com,60m
2023-12-28 03:54:26,Sarah,51,www.myschool.com,89m
2023-12-28 01:53:48,Liam,158,www.myschool.com,73m
2023-12-28 00:47:31,Sadie,384,www.myschool.com,119m
2023-12-27 22:57:26,Gianna,31,www.myschool.com,23m
2023-12-27 06:48:19,Mario,227,www.myschool.com,20m
2023-12-27 01:42:53,Giovanni,342,www.myschool.com,24m
2023-12-26 23:45:34,Alyssa,294,www.myschool.com,107m
2023-12-26 17:44:11,Gage,69,www.myschool.com,85m
2023-12-26 16:22:50,Brayden,200,www.myschool.com,76m
2023-12-26 16:13:48,James,49,www.myschool.com,88m
2023-12-26 13:04:48,Nicole,198,www.myschool.com,106m
2023-12-26 10:56:45,Bianca,128,www.myschool.com,59m
2023-12-26 07:40:26,Kathryn,87,www.myschool.com,41m
2023-12-26 07:32:11,Paul,117,www.myschool.com,18m
2023-12-26 06:28:41,Aidan,235,www.myschool.com,62m
2023-12-26 03:57:34,Kelsey,77,www.myschool.com,5m
2023-12-25 17:58:31,Raymond,219,www.myschool.com,24m
2023-12-25 13:09:50,Marcus,251,www.myschool.com,70m
2023-12-25 04:20:06,Kyle,42,www.myschool.com,85m
2023-12-24 19:54:49,Javier,364,www.myschool.com,67m
2023-12-24 06:23:35,Christopher,58,www.myschool.com,92m
2023-12-23 16:45:40,Marco,345,www.myschool.com,43m
